445,High,a2is-paw,172.16.7.7
445,High,a2is-antrian-db,172.16.7.15
445,High,a2is-repodb,172.16.7.20
445,High,a2-mob-db,172.16.7.30
445,High,A2-Titan-DB,172.16.7.50
445,High,A2-HLT-RetailDB,172.16.7.77
445,High,a2-SPDB-19,172.16.7.95
445,High,a2FinanDB19,172.16.7.146
445,High,a2is-ctidb,172.16.7.167
445,High,#N/A,172.16.7.189
445,High,a2is-b2bpmt-1,172.16.7.190
445,High,a2is-b2bpmt-2,172.16.7.191
445,High,A2-KeyVault,172.16.7.224
445,High,#N/A,172.16.7.225
445,High,a2is-DTSunrise,172.16.8.11
445,High,a2is-DTSunrise-1,172.16.8.12
445,High,a2is-DBSunrise,172.16.8.13
445,High,a2is-filesvr,172.16.83.10
445,High,a2is-FinanSSIS,172.16.83.103
445,High,a2-SPIndex-19,172.16.83.104
445,High,a2-beyondb2b3,172.16.83.12
445,High,a2-SPOWA-19,172.16.83.129
445,High,a2-g5rptrtl-m,172.16.83.13
445,High,A2IS-SSIS1,172.16.83.156
445,High,a2is-PAM-apps,172.16.83.157
445,High,AAB-GLDBHealth,172.16.83.21
445,High,AAB-GLDBHealth,172.16.83.216
445,High,AAB-BeyondB2B1,172.16.83.219
445,High,A2IS-FSMO19,172.16.83.22
445,High,AAB-BEYONDB2B2,172.16.83.220
445,High,a2is-K2WorkSpc,172.16.83.23
445,High,a2is-K2WorkApp,172.16.83.24
445,High,AAB-BYNDSSIS2,172.16.83.241
445,High,#N/A,172.16.83.249
445,High,a2is-bireport02,172.16.83.25
445,High,A2-NPS-Cisco01,172.16.83.27
445,High,A2-NPS-Cisco02,172.16.83.28
445,High,AAB-DHCP12,172.16.83.30
445,High,A2-NPS-Aruba01,172.16.83.31
445,High,A2-NPS-Aruba02,172.16.83.32
445,High,AAB-HealthFS,172.16.83.35
445,High,AAB-BEYONDAPPFAB,172.16.83.38
445,High,AAB-BeyondAPPSV,172.16.83.39
445,High,a2-ssis16-1,172.16.83.41
445,High,AAB-BeyondSSIS,172.16.83.56
445,High,a2is-bireport01,172.16.83.60
445,High,AAB-BYNDSSIS3,172.16.83.71
445,High,AAB-BYNDSSIS4,172.16.83.72
445,High,AAB-BYNDSSIS5,172.16.83.73
445,High,#N/A,172.16.83.82
445,High,a2-g5rptrtl-d,172.16.83.83
445,High,a2-g5rptrtl-w,172.16.83.90
445,High,a2-god-rp1,172.16.9.12
445,High,a2-god-rp2,172.16.9.13
445,High,a2-god-pmt1,172.16.9.14
445,High,a2-god-pmt2,172.16.9.15
445,High,#N/A,172.16.83.77
445,High,aab-wmapp,172.16.9.3
445,High,aab-wmweb,172.16.9.4
445,High,SurveyMobileWeb,172.16.9.61
445,High,A2-dcmain19-1,172.16.93.101
445,High,Dashboard-DCO,172.16.93.102
445,High,a2-gmall-web-lx,172.16.93.106
445,High,a2-gmall-db-lx,172.16.93.109
445,High,a2is-ssis,172.16.93.111
445,High,#N/A,172.16.93.104
445,High,a2is-ctiapp,172.16.93.112
445,High,cisadane-uws4RS,172.16.93.114
445,High,AAB-GLAPHealth,172.16.93.119
445,High,a2is-mobagentdb,172.16.93.120
445,High,A2IS-MobAgentApp,172.16.93.121
445,High,a2-god-privapi1,172.16.93.122
445,High,a2-god-privapi2,172.16.93.123
445,High,cisadane-uws10-1,172.16.93.125
445,High,a2is-emco,172.16.93.128
445,High,a2-gmall-web-lx2,172.16.93.129
445,High,xoom-db-prod,172.16.93.13
445,High,#N/A,172.16.93.133
445,High,cisadane-uws3rs,172.16.93.135
445,High,a2is-JenKins,172.16.93.14
445,High,a2issunsystems,172.16.93.140
445,High,a2is-finanuws,172.16.93.141
445,High,a2-hlt-bst1,172.16.93.145
445,High,A2-mobcusapi,172.16.93.147
445,High,A2-GTW-AAB-12,172.16.93.154
445,High,A2-GTW-FIF-12,172.16.93.155
445,High,Aab-SchedMedic,172.16.93.156
445,High,A2is-RepoS,172.16.93.157
445,High,a2-deliveryX-2012,172.16.93.158
445,High,cisadane-uws4-1,172.16.93.159
445,High,a2-b2b-ght,172.16.93.16
445,High,cisadane-uws3-1,172.16.93.160
445,High,a2is-APImgr,172.16.93.166
445,High,a2-AGESTL-12,172.16.93.167
445,High,aab-helpdesk,172.16.93.169
445,High,a2is-webbilling,172.16.93.17
445,High,A2-CommbizAPI,172.16.93.171
445,High,Aab-TFGen,172.16.93.172
445,High,A2-mobcussch,172.16.93.174
445,High,cisadane-uws11,172.16.93.18
445,High,a2is-presensi,172.16.93.184
445,High,A2-B2BACC-APP,172.16.93.187
445,High,Beyond-SANF-1,172.16.93.19
445,High,a2is-PPU-SVR,172.16.93.191
445,High,#N/A,172.16.93.195
445,High,a2is-schedpmt,172.16.93.196
445,High,A2-VAMANDIRI-16,172.16.93.20
445,High,#N/A,172.16.93.221
445,High,IT-Repository-19,172.16.93.24
445,High,#N/A,172.16.93.202
445,High,A2-dcmain19-2,172.16.93.242
445,High,A2-BFIWeb,172.16.93.239
445,High,a2-git-repo,172.16.93.247
445,High,xoom-server-prod,172.16.93.25
445,High,cisadane-uws12,172.16.93.28
445,High,a2-logbook,172.16.93.3
445,High,a2iscomm1-API,172.16.93.37
445,High,a2iscomm2-API,172.16.93.38
445,High,a2-appswebx-2012,172.16.93.39
445,High,cisadane-uws7,172.16.93.40
445,High,cisadane-uws8,172.16.93.41
445,High,A2-G5Appsvr-2,172.16.93.42
445,High,A2IS-B2BBHC,172.16.93.44
445,High,A2-CL-AAB-12,172.16.93.45
445,High,A2-CL-FIF-12,172.16.93.46
445,High,RAAS,172.16.93.47
